,,,train_0.01,val_0.01,test_0.01,train_0.005,val_0.005,test_0.005,train_0.001,val_0.001,test_0.001,train_0.0005,val_0.0005,test_0.0005,train_0.0001,val_0.0001,test_0.0001
hierarchical_quicknat_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7368053411780372,0.8484536082474227,0.788059163059163,0.7367547228628327,0.8484536082474227,0.7878787878787878,0.7367050124994704,0.8484536082474227,0.7878787878787878,0.7366991864751493,0.8484536082474227,0.7878787878787878,0.7366945710532846
hierarchical_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8468041237113402,0.8012265512265512,0.7381300429158572,0.8509278350515463,0.806998556998557,0.7280682719255238,0.849278350515464,0.7987012987012987,0.715640832410249,0.8488659793814433,0.7983405483405484,0.7138377913768786,0.848659793814433,0.7976190476190476,0.7123563166209664
hierarchical_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.867422680412371,0.812049062049062,0.6613179223640644,0.8663917525773195,0.8127705627705628,0.6584436494821648,0.8663917525773195,0.8125901875901876,0.6561435804778247,0.8668041237113402,0.8129509379509379,0.6563145024121254,0.8668041237113402,0.8129509379509379,0.6562656243379518
hierarchical_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8680412371134022,0.8136724386724387,0.7020910130926656,0.8688659793814433,0.8154761904761905,0.6949903000478188,0.8682474226804123,0.814935064935065,0.6863295744127065,0.8678350515463918,0.8152958152958153,0.6849968524336135,0.8678350515463918,0.814935064935065,0.6848443921867717
hierarchical_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8610309278350515,0.8055555555555556,0.7057993910669644,0.8610309278350515,0.8053751803751804,0.7055632479253301,0.8612371134020618,0.8050144300144301,0.7053627418935033,0.8612371134020618,0.8051948051948051,0.7053286936994195,0.8612371134020618,0.8050144300144301,0.7053239269522478
probabilistic_quicknat_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7368053411780372,0.8484536082474227,0.788059163059163,0.7367547228628327,0.8484536082474227,0.7878787878787878,0.7367050124994704,0.8484536082474227,0.7878787878787878,0.7366991864751493,0.8484536082474227,0.7878787878787878,0.7366945710532846
probabilistic_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8484536082474227,0.8051948051948051,0.7371725320355675,0.8511340206185567,0.8082611832611832,0.72743421888903,0.8468041237113402,0.7994227994227994,0.7179953028624696,0.845360824742268,0.7977994227994227,0.7166634131725653,0.8449484536082474,0.7963564213564214,0.7155917273481148
probabilistic_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8705154639175258,0.8124098124098125,0.673573758981157,0.8705154639175257,0.8116883116883117,0.6681785578092937,0.8690721649484536,0.8111471861471862,0.6645549220069367,0.868659793814433,0.810966810966811,0.6642941885029083,0.868659793814433,0.810966810966811,0.664011134516092
probabilistic_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8705154639175258,0.8152958152958153,0.7079791564522084,0.8738144329896907,0.8185425685425686,0.6968478938543767,0.8738144329896907,0.8178210678210679,0.6838451911843928,0.8731958762886599,0.8172799422799423,0.6821995284703433,0.8727835051546392,0.8152958152958153,0.6807918248016125
probabilistic_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.7911340206185568,0.7617243867243868,0.7077426728286331,0.8583505154639175,0.8059163059163059,0.7130987942399535,0.8583505154639176,0.8055555555555555,0.7129834086933363,0.8583505154639176,0.8055555555555555,0.7129840896572179,0.8581443298969073,0.8055555555555555,0.7129636607407677
